Geo Point;Nom;Boissons;Site web;Téléphone;Horaires;Accessible PMR;PMR (description);Toilettes PMR;Id Wikidata;Id Wikipédia;Code postal;other_tags
47.5203479,-3.1280929;L'Orange Bar;;;;;;;;;;56510;"{""addr:housenumber"": ""90"", ""cuisine"": ""french"", ""name:de"": ""Bar L'Orange"", ""addr:street"": ""Quai Orange""}"
47.520339,-3.1297204;central bar;;;;;;;;;;;
46.7901125,3.1189045;;;;;;;;;;;;
47.8053947,-3.2764666;Au Spot (PMU);;;;;;;;;;;
45.1909856,5.7675906999999995;EVE;;;;"Lundi 12h00-23h00; Mardi-Jeudi 11h00-23h00; Vendredi 12h00-23h00";yes;;;;;38400;"{""addr:housenumber"": ""701"", ""description"": ""Caf\u00e9 associatif"", ""addr:city"": ""Saint-Martin-d'H\u00e8res"", ""addr:street"": ""Avenue Centrale""}"
45.9766172,4.3340536;Brasserie du Coin;;;+33 6 64 62 30 75;;;;;;;;"{""smoking"": ""outside""}"
48.8799811,2.3862299;Rosa Bonheur;;http://rosabonheur.fr/rosa-buttes;+331 42 00 00 45;"Mardi 18h30-00h00; Mercredi-Vendredi 12h00-00h00; Samedi, Dimanche 10h00-00h00";yes;;;;;75019;"{""addr:housenumber"": ""2"", ""internet_access:fee"": ""no"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Paris"", ""old_name"": ""Pavillon du Chemin de Fer, Pavillon Weber"", ""wifi"": ""yes"", ""smoking"": ""outside"", ""addr:street"": ""Avenue de la Cascade"", ""internet_access"": ""wlan""}"
48.8910387,2.1949244;L'Apostrophe;;http://www.lapostrophe-cafe.fr/;+33147211183;"Lundi-Samedi 07h00-23h00; Dimanche 08h00-16h00";;;;;;;"{""source"": ""survey 2013"", ""old_name"": ""Le Point Central"", ""note:fr"": ""Changement de nom 16 dec 2013"", ""outdoor_seating"": ""yes"", ""email"": ""lapostrophe92@gmail.com""}"
48.8944133,2.2098725;Le Zola;;;;;no;;;;;;
48.8916569,2.1998133;Le Balto;;;;;;;;;;;"{""description"": ""Bar Brasserie Tabac Journaux Loto"", ""old_name"": ""\u00c0 La Porte St Denis; \u00c0 La Place St Denis""}"
42.8887904,-0.1147325;L'Aragon;;;;;;;;;;;"{""cuisine"": ""pizza""}"
45.8801121,4.5601789;Auberge des marroniers;;;;;;;;;;;"{""shop"": ""newsagent""}"
44.7345388,4.5977841;Croix d'or;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010""}"
43.6062,3.8632850999999997;L'Opéra;;;;;;;;;;;
43.9425598,3.948935;Café du Commerce;;;;;;;;;;;
43.7256937,4.7088572;;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010""}"
48.6732024,2.3762969;Le Longchamp;;;;;;;;;;;
42.5410734,1.7317326;Mulligan's;;;;;;;;;;;
48.8433232,2.3528098;The Local;"tripel_karmeliet;guinness;grimbergen;Polar";;+33 1 43 31 06 84;"Lundi-Vendredi 10h00-02h00; Samedi 14h00-02h00";;;;;;;"{""internet_access"": ""no""}"
48.8643703,2.3550079999999998;O'Kfée;;;;;limited;;;;;;
43.613231,3.8797343;Apothicaire;;;;;no;;;;;34000;"{""addr:housenumber"": ""8"", ""wheelchair:entrance_width"": ""140"", ""addr:city"": ""Montpellier"", ""height:threshold"": ""10"", ""addr:street"": ""Rue du Pila Saint-G\u00e9ly""}"
43.6134358,3.8799476;Popular Brewing;;;;Mardi-Samedi 18h00-01h00;limited;;;;;34000;"{""addr:housenumber"": ""14"", ""microbrewery"": ""yes"", ""addr:city"": ""Montpellier"", ""outdoor_seating"": ""yes"", ""addr:street"": ""Rue du Pila Saint-G\u00e9ly""}"
43.6114561,3.8762613999999997;Le Chab;;;;;;;;;;;
43.6097586,3.8779836999999997;Le Petit Ness;;;;;;;;;;;
45.6220786,-1.0307708;Tallo's Café;;;;;;;;;;;"{""shop"": ""hairdresser"", ""brand"": ""Dessange"", ""brand:wikidata"": ""Q62979914""}"
45.2967571,5.4831565;Café de l'Église;;;;;;;;;;;
43.2929661,5.370513;The Shamrock;;;;;;;;;;;
48.4110491,-4.5263272;Le Narval;;;;;;;;;;;
48.3827659,-4.4978532;Au Petit Bar;;;;;;;;;;;
48.3923781,-4.4798309;L'antre 2;"affligem;1664";;;;;;;;;;"{""smoking"": ""outside"", ""tobacco"": ""yes""}"
48.3950341,-4.4806364;Le Comix Bar;grimbergen;;;;;;;;;;
48.388081,-4.4825766;Le Cap Horn;;;;;;;;;;;"{""internet_access"": ""wlan""}"
48.3703274,-4.5861859;Le Margouillat;;;;;;;;;;;
48.3461009,-4.3692877;Traonig Bar;;;;;;;;;;;
48.4123213,-4.4960332;Le Metro;;;;;;;;;;;
48.4124917,-4.4683001;Restaurant des Amis;;;;;;;;;;;
48.3736489,-4.371708;Le Troquai;;;;;;;;;;;
48.3998063,-4.4189636;Le Cafe Creme;;;;;;;;;;;
48.3984659,-4.4546555;Bar -Tabacs Le Deauville;;;;;;;;;;;
45.0239994,5.7733255;;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre ; mise \u00e0 jour :2010+ Mes Traces GPS""}"
48.8534529,2.338545;Bar III;;http://www.bar3stgermain.com/;;;no;;;;;75006;"{""addr:housenumber"": ""3"", ""entrance"": ""yes"", ""wifi"": ""yes"", ""addr:street"": ""Rue de l'Ancienne Com\u00e9die""}"
48.871252,2.316952;Elysée Lounge;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010""}"
45.8597947,6.1962239;Café de la Place;;;;;;;;;;;
44.8548162,0.5942708999999999;Au Bon Coin;;;;;;;;;;;
49.0385813,5.6576433;Café de la Place;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre ; mise \u00e0 jour :2006""}"
47.3174124,5.0341534;Bar des amis;;;;;;;;;;;
47.7347594,-3.4989955;;;;;;;;;;;;
48.0307518,7.5834771;GO In;;;;;yes;;no;;;;
48.8426139,2.3298989;Shannon Pub;;;;;no;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010""}"
43.2201239,-0.890713;Café de l'Europe;;;;;;;;;;;
43.5687334,1.4570455;Le Barcelona;;;;;;;;;;;
43.2260509,-0.8782479;Le Drop;;;;;;;;;;;
44.9948627,6.2144118;Go-Shred;;;;;;;;;;;
46.5878887,0.3413862;Le Catalan;;;;;;;;;;;"{""addr:housenumber"": ""2"", ""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre ; mise \u00e0 jour : 2010"", ""wifi"": ""no""}"
44.7913565,6.7319631;Chez Marius;;;;;;;;;;;
44.841491,-0.5619229;The Central Pub;;;;;;;;;;;"{""source"": ""survey""}"
48.9359362,2.4940459;Le Rond Point;;;;;;;;;;;
45.4277413,4.3902726;Le Chantier;;;;;;;;;;;
46.4900979,-0.44805449999999997;Le Bar a Thym;;;;;;;;;;;
45.1778467,5.7261242;Le Maloca;;;;;;;;;;;"{""addr:housenumber"": ""51b"", ""addr:street"": ""Rue de Stalingrad""}"
43.6667252,4.1761294;Bajan;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010""}"
48.8750436,2.3412323;Au Général la Fayette;;;;;;;;;;;
48.6481601,-0.9424865;l'Akwa Bar;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010""}"
48.8312316,2.2403064;Home Sweet Home;;;;;;;;;;;"{""addr:housenumber"": ""7bis"", ""source"": ""survey"", ""addr:street"": ""Rue Heyrault""}"
48.8198436,2.4823548;;;;;;;;;;;;
43.5892764,6.3026526;Bar des Ormeaux;;;;;;;;;;;
48.8349997,2.2370107;Sanana;;;;;;;;;;;"{""addr:housenumber"": ""130"", ""source"": ""survey"", ""tourism"": ""hotel""}"
48.9281548,2.4909946;Bar des Sports;;;;;;;;;;;
48.8236075,2.5422351;Café de la Gare;;;;;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2010"", ""alt_name"": ""Chez KAZI""}"
42.5715793,2.9605098;;;;;;;;;;;;
48.884166,2.2895992;Le Galvani;;;;;no;;;;;;
48.8321896,2.2529662999999998;Garden Café;;;;;;;;;;;"{""source"": ""survey""}"
47.8412418,-0.3326592;Le Royal Élizé;;;;;;;;;;72300;"{""addr:housenumber"": ""24"", ""smoking"": ""outside"", ""addr:city"": ""Sabl\u00e9-sur-Sarthe"", ""addr:street"": ""Rue Michel Vielle""}"
47.257935,-2.2361054;;;;;;;;;;;;
48.2054353,7.3624269;Bier un Winstub;;;;;;;;;;;
46.2349145,6.6554021;Le Mediterranee;;;;;;;;;;;"{""shop"": ""tobacco""}"
50.6392361,3.0586026;Le Lobby;;;;"Lundi-Mercredi,Dimanche 17h00-01h00;Jeudi-Samedi 17h00-03h00";;;;;;59800;"{""addr:housenumber"": ""10"", ""outdoor_seating"": ""no"", ""addr:city"": ""Lille"", ""addr:street"": ""Rue Royale""}"
48.8830189,2.3180008;Bistrot des Vignes;;;;;;;;;;;"{""name:fr"": ""Bistrot des vignes""}"
44.1620327,1.5365638;;;;;;;;;;;;
43.5627838,-1.4463558;Larrendart - Le Bistrot;yes;;;;;;;;;40440;"{""shop"": ""tobacco"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Ondres"", ""addr:street"": ""Place Richard Feuillet""}"
43.5575603,6.0074305;Snack-bar le sporting;;;;;;;;;;;
47.7192839,-1.3760818;Le Central;;;;;;;;;;;
44.112751,3.0823136;;;;;;;;;;;;"{""source"": ""survey 2016"", ""tobacco"": ""yes""}"
48.0601479,-3.4111789999999997;Bar Le St Jalmes;;;+33 2 97 34 61 92;;;;;;;56320;"{""addr:housenumber"": ""4"", ""addr:city"": ""Priziac"", ""addr:street"": ""Rue Albert Saint-Jalmes""}"
43.49961,-1.5431424;Vent d'Ouest Café;;http://www.vo-cafe.com;+33 5 59 03 89 88;;;;;;;;
42.7053351,3.0072146;;;;;;;;;;;;"{""smoking"": ""outside""}"
43.5005906,-1.5422967;La Choppe;;;;;;;;;;;"{""name:fr"": ""La Choppe""}"
43.7008868,7.2828802;Le Petit Napoléon;;;;;;;;;;06300;"{""addr:housenumber"": ""19"", ""addr:city"": ""Nice"", ""addr:street"": ""Rue Bonaparte""}"
43.5299599,5.4457461;Woods;;;;;;;;;;13100;"{""smoking"": ""yes"", ""addr:city"": ""Aix-en-Provence"", ""addr:street"": ""Forum des Cardeurs""}"
44.5209764,2.7613408;Le PMU;;;;;;;;;;;"{""lottery"": ""yes"", ""tobacco"": ""yes""}"
44.520822,2.7617955;La Tour;;;;;;;;;;;
47.9955211,2.7329373;Le Dandy;;;;;;;;;;;"{""name:fr"": ""Le Dandy""}"
45.288973,6.9095395;Snack Bar;;;;;;;;;;;"{""source"": ""survey 2016"", ""terrace"": ""yes""}"
42.7272088,3.0164055;Bar Pmu Amigo Santa Maria;;;;;;;;;;;
49.1007855,6.1549575;Bar Moderne;;;;;;;;;;;
46.2745184,4.0398695;L'entracte;;;;;;;;;;;"{""source"": ""Observations personnelles""}"
48.8686979,2.4178174;Le Bal Perdu;;;;;;;;;;;"{""cuisine"": ""french""}"
47.6390699,-3.4543885;Ancre de la marine;;;;;;;;;;;"{""name:fr"": ""Ancre de la marine"", ""tobacco"": ""yes""}"
47.8080055,1.6351083;Le P'tit Mess';;;;;;;;;;;"{""source"": ""Mapillary""}"
48.8935758,2.3994881;Bar de l'Industrie;;;;;;;;;;93500;"{""addr:housenumber"": ""2"", ""addr:city"": ""Pantin"", ""addr:street"": ""Rue du Congo""}"
47.2397456,6.017088;L'Arche;;;;;;;;;;;"{""diet:vegetarian"": ""yes""}"
49.6964692,4.9165965;Le Terminus;;;;;;;;;;;
47.8851603,6.8527525;Bar du Peuple;;;;;;;;;;;
48.8685557,2.3248899;Relais Madeleine;;;;;;;;;;;"{""addr:housenumber"": ""9"", ""addr:street"": ""Rue du Chevalier de Saint-George""}"
43.73944,1.4708929;;;;;;;;;;;;
47.9804794,6.6366118;Au P'tit Plus;;https://fr-fr.facebook.com/olisof/;+33 6 13 76 49 92;;;;;;;;"{""source"": ""BDOrtho IGN 2017;survey""}"
43.6961717,7.2730248;Le Six;;;;;;;;;;06000;"{""addr:city"": ""Nice"", ""addr:street"": ""Rue Raoul Bosio""}"
43.3424093,3.2126528;Bar de la Poste;;;;;;;;;;;
43.4901614,-1.4725799;Patxoki;;;;;;;;;;;"{""name:fr"": ""Patxoki"", ""addr:street"": ""Rue des Tonneliers""}"
47.4135802,0.9848245;La Cave à Bulles;;;;;;;;;;;
45.3651777,5.5926479;Carpe Diem;;;;;;;;;;;"{""wifi"": ""no""}"
43.2947159,5.3842773;Le Couz'In;;;;Mercredi-Lundi 19h00-01h00;;;;;;;"{""cuisine"": ""local;tapas"", ""name:fr"": ""Le Couz'In""}"
48.123339,-1.6595895;Café du Parc;;;;;no;;;;;35700;"{""smoking"": ""outside"", ""outdoor_seating"": ""no"", ""addr:city"": ""Rennes""}"
48.8601792,2.3477042;Mamie Paris;;;;;;;;;;;"{""name:fr"": ""Mamie Paris""}"
48.8812444,2.3496559;La Royale;;;;;;;;;;;
42.4440912,9.5078132;;;;;;;;;;;;
46.9101787,4.7526525;Le Tendace;;;;;;;;;;;
43.2084363,1.2309273;;;;;;;;;;;;
47.7462316,7.3578306;Le Cadre Noir;;;+33 3 89 65 04 24;;;;;;;;"{""tobacco"": ""yes""}"
46.9876226,3.1615896;Donald's Pub;;https://www.facebook.com/Donalds-Pub-Nevers-122947221055572/;+33 3 86 61 20 36;;;;;;;58000;"{""addr:housenumber"": ""3"", ""addr:city"": ""Nevers"", ""addr:street"": ""Rue Fran\u00e7ois Mitterrand""}"
46.9853613,3.1581927;Red Velvet;;https://www.facebook.com/LeRedVelvet/;+33 6 60 66 62 04;;;;;;;58000;"{""addr:housenumber"": ""25"", ""addr:city"": ""Nevers"", ""addr:street"": ""Quai de Mantoue""}"
44.994817499999996,1.2498913;Bar Geo;;;;;;;;;;;
48.0933883,-4.3289939;Le Bar d’Ailleurs;;;;;;;;;;;"{""shop"": ""tobacco""}"
48.9373903,2.5306731;Le Bar du Centre;;;;;;;;;;;"{""source"": ""gps""}"
43.3005404,5.5694821;;;;;;;;;;;;
44.2260932,6.9295117;Le Galion;;;+33 4 93 23 01 56;;;;;;;06660;"{""addr:city"": ""Auron"", ""addr:street"": ""Avenue de Malhira""}"
43.6956483,7.2717053;El Merkado;;;;;;;;;;06300;"{""addr:housenumber"": ""12"", ""addr:city"": ""Nice"", ""addr:street"": ""Rue Saint-Fran\u00e7ois de Paule""}"
47.0926236,-1.6117374;Le Dynamik;;;;;;;;;;;
44.4490342,-1.2538912;Corto Bar;;;;;;;;;;;
49.4413961,1.1003244;Le Son du Cor;;;+33 2 35 71 46 62;;no;;;;;76000;"{""addr:housenumber"": ""221"", ""addr:city"": ""Rouen"", ""operator"": ""Fabienne Picard"", ""smoking"": ""outside"", ""outdoor_seating"": ""yes"", ""addr:street"": ""Rue Eau de Robec""}"
43.2364871,3.2594966;Bar-Glacier;;;;;;;;;;;
47.0950563,5.4970342;NorthWich;;;;;yes;;yes;;;;
43.2906239,5.3891984;Le Campagne;;;;;;;;;;;"{""source"": ""survey 2016"", ""tobacco"": ""yes""}"
44.9597229,3.5463125;Brasserie de la tour;;;;;;;;;;;"{""tobacco"": ""yes""}"
49.8454389,3.2869399;Le Sunrise;;;;"Mardi-Jeudi 08h00-21h00; Vendredi 08h00-23h00; Samedi 09h00-23h00; Dimanche 09h00-20h00";;;;;;;"{""contact:facebook"": ""http://www.facebook.com/lesunrisebar"", ""contact:phone"": ""+33 3 10 38 31 71"", ""contact:housenumber"": ""2"", ""contact:email"": ""hedin3602@gmail.com"", ""contact:postcode"": ""02100"", ""payment:mastercard"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:cash"": ""yes"", ""contact:street"": ""Rue Voltaire"", ""payment:visa"": ""yes"", ""wifi"": ""yes"", ""contact:city"": ""Saint-Quentin""}"
44.4257719,2.1635524999999998;La Toupine de Ricou;;;;;;;;;;;"{""source"": ""survey 2016"", ""lottery"": ""yes"", ""terrace"": ""yes"", ""tobacco"": ""yes""}"
47.9743734,0.4615897;Le Roi David;;;;;;;;;;;
48.1049314,-1.6795152;Le Milk Lounge;;;;;;;;;;35000;"{""addr:housenumber"": ""8"", ""addr:city"": ""Rennes"", ""source:addr"": ""Rennes M\u00e9tropole"", ""source:addr:version"": ""2016-04-01"", ""addr:street"": ""Place du Colombier"", ""source:addr:housenumber:ref"": ""64253""}"
48.1133314,-1.6818304;Le P'tit Vélo;;;;;no;;;;;35000;"{""addr:housenumber"": ""8"", ""addr:city"": ""Rennes"", ""source:addr"": ""Rennes M\u00e9tropole"", ""source:addr:version"": ""2016-04-01"", ""addr:street"": ""Place Saint-Michel"", ""source:addr:housenumber:ref"": ""59814""}"
49.116843,6.178785;Windsor Pub;Guinness;;;;;;;;;;"{""food"": ""yes"", ""source"": ""survey"", ""outdoor_seating"": ""yes"", ""survey:date"": ""2017-07""}"
43.709125,-1.0551074;Phileas Fogg Café;various;;+33558908780;;;;;;;;"{""addr:housenumber"": ""23"", ""addr:street"": ""Cours Mar\u00e9chal Foch""}"
46.8368799,4.3574684999999995;;;;;;;;;;;;
47.7964664,3.5843005999999997;Le Saint-Gervais;;;;;;;;;;;"{""shop"": ""newsagent"", ""outdoor_seating"": ""yes"", ""tourism"": ""hotel""}"
47.7955491,3.5686774999999997;Le Paris Bar;;;;;;;;;;;"{""shop"": ""tobacco""}"
47.8719096,-3.5462235;O'Keltia;;;;;;;;;;;
49.2148353,-0.352686;Sarl Sdj;;;;Lundi-Samedi 09h00-12h00, 14h00-18h00;;;;;;14200;"{""addr:housenumber"": ""5"", ""addr:city"": ""H\u00e9rouville-Saint-Clair"", ""contact:email"": ""caen@classcroute.com"", ""contact:phone"": ""+33 2 31 44 30 97"", ""addr:street"": ""Avenue de Tsukuba""}"
48.5098387,-1.5232171;La Passée;;;;;;;;;;;
44.3815335,2.8217515;Le Pub;;;;;;;;;;12310;
48.1024905,-1.6611555;B'rigit Bar;;;;;;;;;;;"{""addr:housenumber"": ""144"", ""addr:city"": ""Rennes"", ""source:addr"": ""Rennes M\u00e9tropole"", ""source:addr:version"": ""2016-04-01"", ""addr:street"": ""Rue Saint-H\u00e9lier"", ""source:addr:housenumber:ref"": ""74407""}"
48.1151977,-1.7031325;La Casaque;;;;;;;;;;;"{""addr:housenumber"": ""167"", ""addr:city"": ""Rennes"", ""source:addr"": ""Rennes M\u00e9tropole"", ""source:addr:version"": ""2016-04-01"", ""addr:street"": ""Boulevard Saint-Jean-Baptiste de la Salle"", ""source:addr:housenumber:ref"": ""59527""}"
47.6485696,-2.0847891;Le Nantais;;;;;yes;;;;;;"{""level"": ""0""}"
47.6482825,-2.0846396;Le Nautic;;;;;;;;;;;"{""level"": ""0""}"
45.7634083,3.1208822;Bar de la Gantière;;;;;;;;;;;
48.637839,-2.018978;Bar des Sablons;;;;;;;;;;;"{""source"": ""survey""}"
42.3060565,9.1507709;La Coupole;;;;;;;;;;20250;"{""addr:city"": ""Corte"", ""addr:street"": ""Cours Paoli""}"
43.5290884,3.9299369;Le Saint-Gabriel;;;;;;;;;;;"{""outdoor_seating"": ""yes""}"
47.4527223,6.6565866;Bar Chez l'Alice;;;;;;;;;;;"{""operator"": ""VIGNERON""}"
50.0180058,4.0536596;Le Nemrod;;;;;;;;;;;
46.0824597,6.7271543;Red rock;;;;;;;;;;;
49.8371245,3.9064487;Le Fontainois;;;;;;;;;;;
49.8352406,3.9069154;La Grotte;;;;;;;;;;;
49.3785442,-1.7859284999999998;Le Hètier;;;;;;;;;;;
49.4188629,5.9445572;Le Wagonnet;;;;;;;;;;;
47.803931,-3.4422753;;;;;;;;;;;;
46.0837072,6.6758016;;;;;;;;;;;;
43.4949369,-1.5137707;Ibaina;;;;;;;;;;;"{""cuisine"": ""spanish""}"
43.8329229,-0.8087551;Le Calmos;;;;;;;;;;;
47.5339287,2.033321;Le V Bar;;;;;;;;;;;
47.3479524,-3.1578931;La Rhumerie;;;;;;;;;;;
44.243362,5.0723066;L'Athéna;;;;;;;;;;;
47.3710812,-3.2213813;Le Tilleul;;;+33 2 97316379;;;;;;;;
45.585293,5.2780167;Bar de la Fontaine;;;;;;;;;;;"{""survey:date"": ""2019-02-13""}"
43.1466821,-0.2576585;Bar Tabac Squash;;;;;;;;;;;
45.548554,5.2236814;Bar des 3 Colombes;;;;;;;;;;;
48.6443152,-4.3658095;Le paritou;;;;;;;;;;;"{""addr:street"": ""Rue de la C\u00f4te des L\u00e9gendes""}"
48.902842,2.3131052;Tabac de la République;;;;;;;;;;;
48.8761942,2.4557919;Le Gymnase;;;;;;;;;;;
48.8574972,2.3574496;La belle Hortense;;;;;;;;;;75004;"{""addr:housenumber"": ""31"", ""name:en"": ""La belle Hortense"", ""addr:city"": ""Paris"", ""addr:street"": ""Rue Vieille du Temple""}"
48.5836082,7.7527947;L'Idéal;;;;;;;;;;;"{""contact:phone"": ""+33 3 88 24 08 83"", ""contact:street"": ""Rue des Juifs"", ""contact:housenumber"": ""26"", ""contact:city"": ""Strasbourg"", ""contact:website"": ""https://www.facebook.com/pages/Bar-Lideal/172230066125578"", ""contact:postcode"": ""67000""}"
48.8839113,2.3202071;Pistache - Le Petit Apéro;;;;;;;;;;;
47.3479471,-2.4938836;Chez Marie;;;;;;;;;;;"{""contact:postcode"": ""44420"", ""contact:city"": ""La Turballe"", ""contact:street"": ""Rue de Fourbihan"", ""contact:housenumber"": ""5""}"
45.1817992,5.7166235;Over Life;;;;Mercredi-Samedi 18h00-01h00;no;;;;;;
49.1799747,-0.3620914;Serpico;;;;Mardi-Samedi 17h00-01h00;;;;;;;"{""source"": ""cadastre-dgi-fr source : Direction G\u00e9n\u00e9rale des Imp\u00f4ts - Cadastre. Mise \u00e0 jour : 2016"", ""contact:phone"": ""+33 2 31862876"", ""contact:email"": ""serpico@gmail.com""}"
43.3002474,5.3865411;L'Entre Pots;;;;;;;;;;;"{""amenity_1"": ""restaurant"", ""shop"": ""alcohol"", ""alcohol"": ""wine""}"
48.870339799999996,2.2267717;Le Pesage;;;;;;;;;;;
49.3050345,3.9654434;Le Saint-Thierry;;;;;;;;;;;
47.1323919,4.7761134;;;;;;;;;;;;
48.862003,2.212575;L'Oastal Café;;;;;;;;;;;"{""source"": ""survey""}"
45.8996593,6.1234896;Le p'tiou bar;;;;;;;;;;;"{""addr:housenumber"": ""6"", ""addr:street"": ""Rue de la R\u00e9publique"", ""addr:city"": ""Annecy"", ""addr:country"": ""FR""}"
48.1399892,-0.1154347;La Rouez vers l'Or;;;;;;;;;;;
47.1998045,-1.8770501;Café des sports;;;;;;;;;;;
48.7934732,2.3363889;La Réserve de Fred;;http://www.caviste-bar-lareserve-cachan.fr;+33 1 49 86 06 64;"Lundi off; Mardi-Samedi 15h30-23h30; Dimanche off";;;;;;;"{""addr:housenumber"": ""24""}"
50.6328507,3.0551417;Le décalé;;;;;;;;;;59000;"{""addr:housenumber"": ""31"", ""outdoor_seating"": ""yes"", ""addr:city"": ""Lille"", ""addr:street"": ""Rue Mass\u00e9na""}"
43.387301,-1.3038139;Etxeko Bob ' S Beer;;;+33559297039;;;;;;;64240;"{""addr:housenumber"": ""69"", ""addr:street"": ""Rue Francis Jammes""}"
46.2001553,5.2265211;Campus garden;;;;;;;;;;;
43.4917797,-1.4855334;;;;;;;;;;;;"{""tickets:public_transport"": ""yes""}"
48.8392502,2.3894915;Le Metro;;;;;;;;;;;
43.6383289,5.0944832;My Beers;;;;;;;;;;;
44.3836785,4.9936839;Le Kaz1;;https://m.facebook.com/barlekaz1;;;;;;;;;"{""name:fr"": ""Le Kaz1"", ""name:en"": ""Le Kaz1""}"
47.5428948,2.8167771;La Lutetia;;;;;;;;;;;"{""shop"": ""kiosk""}"
50.7242529,1.6092494;;;;;;;;;;;62200;"{""addr:housenumber"": ""27"", ""addr:city"": ""Boulogne-sur-Mer"", ""smoking"": ""no"", ""outdoor_seating"": ""yes"", ""addr:street"": ""Grande Rue""}"
44.6667667,0.3961962;Le Pub Gambetta;;;+33553233341;;;;;;;24500;"{""name:en"": ""Pub Gambetta"", ""name:fr"": ""Le Pub Gambetta"", ""internet_access"": ""wlan"", ""addr:street"": ""Place Gambetta""}"
43.3799646,5.3507442;Bar de la Place;;;;;;;;;;;
47.4567337,0.7080508999999999;La Calèche;;;;;;;;;;;"{""shop"": ""tobacco"", ""vending"": ""public_transport_tickets"", ""tickets:public_transport"": ""yes"", ""shop_1"": ""newsagent""}"
47.3963405,0.6932046;Le Flash;;;;;yes;;;;;;"{""addr:housenumber"": ""138"", ""shop"": ""newsagent"", ""tobacco"": ""yes"", ""outdoor_seating"": ""yes"", ""tickets:public_transport"": ""yes"", ""addr:street"": ""Rue Colbert""}"
47.3463974,0.6560682999999999;Le Saint-Cloud;;;;;;;;;;;"{""shop_1"": ""newsagent""}"
48.9357167,2.4264478;Le Parisien;;;;;;;;;;;
43.2981941,5.3817848;Brasserie du Tramway;;;;;;;;;;;
47.3937559,0.6829622;A Torra;;;;;;;;;;37000;"{""addr:housenumber"": ""13 B"", ""outdoor_seating"": ""yes"", ""addr:street"": ""Place de Ch\u00e2teauneuf""}"
45.4159914,-1.1443913000000001;Chez Bixente - Tapas, grillades, crêperie;;;+33625720336;Lundi-Dimanche 09h00-24h00;yes;;;;;;"{""outdoor_seating"": ""yes"", ""description"": ""Bar Bixente - Tapas, grillades, cr\u00eaperie Happy Hour: 17.30-18.30"", ""email"": ""Bixente.byrobane@yahoo.fr""}"
46.2037992,5.2260549;BJ Pub;;;;;;;;;;;"{""ref:FR:SIRET"": ""52295957600011"", ""source"": ""Base Sirene - 2017""}"
48.3463869,2.4590370999999998;La tête des trains;;;;;;;;;;;
45.7793924,3.0815033;Captain's Cabin;;;;;;;;;;;
49.441275,1.1029994;Vixen;;;;;;;;;;76000;"{""addr:housenumber"": ""58"", ""addr:city"": ""Rouen"", ""smoking"": ""outside"", ""outdoor_seating"": ""yes"", ""addr:street"": ""Rue Armand Carrel""}"
48.8523803,2.6033305;Abbaye de leffe;;;;;;;;;;;"{""name:fr"": ""Abbaye de leffe""}"
48.8456177,2.4031989;Tabac de la Poste;;;;;;;;;;;"{""name:fr"": ""Tabac de la Poste""}"
43.4024899,3.6954659;Bar à Huîtres;;;;;;;;;;;
48.4693621,-2.5155275;Le Martray;;;;;;;;;;;
43.6141832,3.8893968;Au Petit Relais;;;;;yes;;;;;;"{""entrance:step:height"": ""0"", ""outdoor_seating"": ""yes"", ""entrance:step_count"": ""0"", ""entrance:width"": ""0.91""}"
48.8531114,2.331247;Fidèle;;;;;;;;;;;
46.1396118,2.8595898;Chez Mélanie;;;;;;;;;;;
49.1151049,6.1765976;Le Baratin;;;;;no;;;;;;"{""internet_access:fee"": ""no"", ""outdoor_seating"": ""yes"", ""source"": ""survey"", ""survey:date"": ""2017-07"", ""internet_access"": ""wlan""}"
